"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZMYM5",5.43744922099648e-11,0.147979754152668,0.331,0.267,1.4268954245739e-06,"Retinal progenitors","ZMYM5"
"SLC6A13",5.47648819115383e-11,2.26399391394606,0.014,0.005,1.43714003112259e-06,"Retinal progenitors","SLC6A13"
"CBLL11",5.61046342813828e-11,0.213803545467978,0.099,0.065,1.47229781281205e-06,"Retinal progenitors","CBLL1"
"VPS26C",5.7975615704106e-11,0.163788512620272,0.199,0.148,1.52139610730715e-06,"Retinal progenitors","VPS26C"
"MIER21",5.9301253875152e-11,0.274858135174134,0.1,0.066,1.55618350419174e-06,"Retinal progenitors","MIER2"
"AC002454.11",5.9490756487667e-11,0.562069188013867,0.045,0.023,1.56115643174936e-06,"Retinal progenitors","AC002454.1"
"ERLIN22",6.01089496440247e-11,0.171619595781311,0.105,0.069,1.5773790565585e-06,"Retinal progenitors","ERLIN2"
"AC093249.61",6.22807359357767e-11,0.524517072436589,0.019,0.007,1.63437107242665e-06,"Retinal progenitors","AC093249.6"
"NDUFAF5",6.33757157904587e-11,0.16623241988858,0.18,0.132,1.66310553377322e-06,"Retinal progenitors","NDUFAF5"
"ARMC61",6.37290230482198e-11,0.314861985936452,0.083,0.052,1.67237702283138e-06,"Retinal progenitors","ARMC6"
"AP001574.12",6.68589819243428e-11,0.337539079507794,0.045,0.024,1.7545134036586e-06,"Retinal progenitors","AP001574.1"
"ZNF230",6.79272141931874e-11,0.542334631615502,0.03,0.014,1.78254595485762e-06,"Retinal progenitors","ZNF230"
"HAGH1",6.87848710996114e-11,0.160713804191076,0.207,0.156,1.805052587396e-06,"Retinal progenitors","HAGH"
"RIOK21",6.99063855179088e-11,0.178765028520715,0.104,0.069,1.83448336876096e-06,"Retinal progenitors","RIOK2"
"ZNF6461",7.0801651479815e-11,0.279704996464716,0.051,0.028,1.85797693813331e-06,"Retinal progenitors","ZNF646"
"NAF11",7.15029453522017e-11,0.107977168750732,0.197,0.145,1.87638029193248e-06,"Retinal progenitors","NAF1"
"AC139769.21",7.32351109448984e-11,0.675415389200715,0.062,0.036,1.92183578141602e-06,"Retinal progenitors","AC139769.2"
"DNTTIP11",7.35895317234132e-11,0.181601914949783,0.084,0.053,1.93113649148581e-06,"Retinal progenitors","DNTTIP1"
"TARSL21",7.38766773168612e-11,0.144575585744308,0.257,0.199,1.93867176614907e-06,"Retinal progenitors","TARSL2"
